Day,Species,Drug,Condition,Count
32,Bone,1D11,TUMOR,225.3832195
32,Bone,1D11,TUMOR,297.1246254
32,Bone,1D11,TUMOR,319.432537
10,Tumor,13C4,TUMOR,3.951138964
10,Tumor,13C4,TUMOR,0.892607939
14,Tumor,13C4,TUMOR,10.12111588
14,Tumor,13C4,TUMOR,10.61942367
14,Tumor,13C4,TUMOR,3.080637646
14,Tumor,13C4,TUMOR,2.982047823
14,Tumor,13C4,TUMOR,1.986474555
14,Tumor,13C4,TUMOR,3.471428571
32,Tumor,13C4,TUMOR,2.914763948
32,Tumor,13C4,TUMOR,1.270398529
32,Tumor,13C4,TUMOR,1.748129982
32,Tumor,13C4,TUMOR,34.96513795
32,Tumor,13C4,TUMOR,7.765628449
32,Tumor,13C4,TUMOR,16.92278357
32,Tumor,13C4,TUMOR,1.475168608
32,Tumor,13C4,TUMOR,7.46360515
32,Tumor,13C4,TUMOR,3.504071122
32,Tumor,13C4,TUMOR,46.36435316
32,Tumor,13C4,TUMOR,3.110545677
32,Tumor,13C4,TUMOR,31.63974249
32,Tumor,13C4,TUMOR,2.237069283
32,Tumor,13C4,TUMOR,11.48361741
32,Tumor,13C4,TUMOR,6.586940527
32,Tumor,13C4,TUMOR,11.09400368
32,Tumor,13C4,TUMOR,1.146057633
32,Tumor,13C4,TUMOR,4.708804414
32,Tumor,13C4,TUMOR,5.369294911
32,Tumor,13C4,TUMOR,3.199435929
32,Tumor,13C4,TUMOR,4.7291355
32,Tumor,13C4,TUMOR,3.877522992
32,Tumor,13C4,TUMOR,2.953243409
32,Tumor,13C4,TUMOR,95.89503372
10,Tumor,1D11,TUMOR,2.52708496
10,Tumor,1D11,TUMOR,0.59030312
10,Tumor,1D11,TUMOR,0.064946958
14,Tumor,1D11,TUMOR,0.260122624
14,Tumor,1D11,TUMOR,1.788492296
14,Tumor,1D11,TUMOR,6.872017167
32,Tumor,1D11,TUMOR,0.862930717
32,Tumor,1D11,TUMOR,0.096076027
32,Tumor,1D11,TUMOR,0.191036174
32,Tumor,1D11,TUMOR,0.139166156
32,Tumor,1D11,TUMOR,0.54248927
